computer	http://my.jobs/c2c63f18d2164a41a82ab3fa34eef6c51839
software	http://my.jobs/b41d0c8d253e47bcade268e20921088e1839
account manager	http://my.jobs/52de7044613f4bb69ba1d7af90bc2be51839
software	http://my.jobs/2e939d517f544ecaab8e34f89df1b2801839
computer engineer	https://my.jobs/CE8088DD635E49B6A14C2E62D862787B88
software	https://my.jobs/E68CC6AFDE8F4A0FAC6F374A0A5952F188
c#	http://my.jobs/d6271757575a4081bfb746b0a17944951839
business	https://my.jobs/6af2b3a74d3a4dee8bc1de0a25f7523e88
software	https://my.jobs/56f62c5eb65442bb9b34b72cb263386388
software manager	https://my.jobs/571f4bb8c4c9497ea123f68a5e71ffc988
software developer	http://my.jobs/4b3da34d342b47ccb17c47c5c5bf548d1839
